stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
Route2B-0263_Woodlawn Rd. W. at Edinburgh Rd. N.,0263,Woodlawn Rd. W. at Edinburgh Rd. N.,,43.558487,-80.286658,,,,
Route2B-0264_Woodlawn Rd. W. at Dawson Rd.,0264,Woodlawn Rd. W. at Dawson Rd.,,43.556826,-80.288946,,,,
Route2B-0265_Woodlawn Rd. W. at Arrow Rd.,0265,Woodlawn Rd. W. at Arrow Rd.,,43.554156,-80.292659,,,,
Route2B-0266_Woodlawn Rd. W. at Silvercreek Pkwy. N.,0266,Woodlawn Rd. W. at Silvercreek Pkwy. N.,,43.551719,-80.295956,,,,
Route2B-0267_Woodlawn Rd. W. at Regal Rd.,0267,Woodlawn Rd. W. at Regal Rd.,,43.548709,-80.300078,,,,
Route2B-0268_Woodlawn Rd. W. at Royal Rd.,0268,Woodlawn Rd. W. at Royal Rd.,,43.546404,-80.303239,,,,
Route2B-0269_Imperial Rd. N. at Woodlawn Rd. W.,0269,Imperial Rd. N. at Woodlawn Rd. W.,,43.543469,-80.305876,,,,
Route2B-0270_Massey Rd. at Imperial Rd. N.,0270,Massey Rd. at Imperial Rd. N.,,43.540880,-80.301154,,,,
Route2B-0271_Royal Rd. at Massey Rd.,0271,Royal Rd. at Massey Rd.,,43.542591,-80.298386,,,,
Route2B-0272_Royal at ARC Industries,0272,Royal at ARC Industries,,43.539916,-80.294588,,,,
Route2B-0273_Imperial Rd. N. at Speedvale Ave. W.,0273,Imperial Rd. N. at Speedvale Ave. W.,,43.536579,-80.296369,,,,
Route2B-0274_Imperial Rd. N. at Thornhill Dr.,0274,Imperial Rd. N. at Thornhill Dr.,,43.534097297637125,-80.294730,,,,
Route2B-0275_Imperial Rd. N. at Kipling Ave.,0275,Imperial Rd. N. at Kipling Ave.,,43.530773,-80.294209,,,,
Route2B-0276_Imperial Rd. N. at Willow Rd.,0276,Imperial Rd. N. at Willow Rd.,,43.528717,-80.292316,,,,
Route2B-0277_Willow Rd. at Flaherty Dr.,0277,Willow Rd. at Flaherty Dr.,,43.527623,-80.296562,,,,
Route2B-0278_Elmira Rd. at West End Community Centre,0278,Elmira Rd. at West End Community Centre,,43.523239,-80.293729,,,,
Route2B-0279_Elmira Rd.at Paisley,0279,Elmira Rd.at Paisley,,43.521827,-80.289727,,,,
Route2B-0280_Elmira Rd. at Fresh Meadow Way,0280,Elmira Rd. at Fresh Meadow Way,,43.518734,-80.281997,,,,
Route2B-0281_Elmira Rd. at Rochelle Dr.,0281,Elmira Rd. at Rochelle Dr.,,43.516498,-80.279127,,,,
